title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,779 ratings",In Stock
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.4 out of 5 stars,130 ratings,In Stock
"Wuthur PS4 Controller Wireless 2 Pack, Compatible with PlayStation 4 - Black & White",,4.3 out of 5 stars,294 ratings,In Stock
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for PlayStation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"39,846 ratings",In Stock
PlayStation 4 Jet Black (CUH-1200AB01) [Japan Import],,3.9 out of 5 stars,858 ratings,Usually ships within 6 to 7 days
"LaiChauKit PS4 Controller 2 PACK Compatible with PS4/Slim/Pro/PC,Wireless Controller with Dual Vibration/3.5mm Audio Jack/1000mAh Battery/Multi Touch Pad (Gold+Red)",,4.3 out of 5 stars,114 ratings,In Stock
Sonic Frontiers - PlayStation 4,,4.7 out of 5 stars,996 ratings,
$250 PlayStation Store Gift Card [Digital Code],,4.6 out of 5 stars,"263,728 ratings",Available now
SNK VS CAPCOM SVC CHAOS - PlayStation 4,,Previous page of related Sponsored Products,,"This item will be released on February 11, 2025."
NBA 2K25 - PlayStation 4,,4.7 out of 5 stars,95 ratings,In Stock
"Ubsvaky Wireless Controller for PS4, Wired P-4 Pro Controller with Paddles, Black P-4 Controller Accessories, P-4 Accessories Perfect Adaptive Full Version 4/4 Pro/Slim.",,4.5 out of 5 stars,732 ratings,In Stock
SHINXIN PS4 Controller 2 Pack for PS4/Slim/Pro/PC with Dual Vibration/3.5mm Audio/Type-C Port and 2 pcs Type-C Cable (Blue + Green),,4.4 out of 5 stars,177 ratings,In Stock
"Wireless Controller for PS4, Custom Design V2 Gamepad Joystick for PS4 with Non-Slip Grip of Both Sides and 3.5mm Audio Jack! Thumb Caps Included! (Galaxy)",,4.2 out of 5 stars,"3,244 ratings",In Stock
"MOOGOLE Wireless Controller for PS4, with USB C Cable/1000mAh Battery/Dual Motors/6-Axis Gyro/3.5mm Audio Jack/Multi Touch Pad/Share Button, Compatible with PS4/Slim/Pro/PC (Colorful Arrows)",,4.2 out of 5 stars,"3,797 ratings",In Stock
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"9,296 ratings",Not Available
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,582 ratings",Not Available
"hdmi Cable 80ft 4k60hz with Built-in Signal Booster. hdmi Cables Extender,HDMI Cable V2.0 with EQ Suppert HDR 4K60HZ",,5.0 out of 5 stars,3 ratings,Only 9 left in stock - order soon.
"ISHAKO Controller for PS4, Wireless Controller Black for Sony PlayStation 4/Pro/Slim, Remote Control with Adjustable RGB Light/1000mAh Battery/6-Axis Motion Sensor/Double Vibration",,4.0 out of 5 stars,638 ratings,In Stock
"LED Wireless Controller for PS4, RGB Lighting Gamepad for Playstation 4/PS4 Slim/PS4 Pro with Turbo/6-Axis Motion Sensor/1200mAh Battery/3.5mm Audio Jack - Black",,4.1 out of 5 stars,104 ratings,In Stock
